timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:43:23+01:00,Autogluon_QR+NSGA-II,dtlz1,5.056e+03±9.095e-13,6.098e+03±1.949e+03,6.098e+03±1.949e+03,0.0±0.0%,6.794e+03±2.141e+03,-11.6±2.8%,6.794e+03±2.141e+03,-11.6±2.8%,6.794e+03±2.141e+03,-11.6±2.8%,6.803e+03±2.141e+03,-11.7±2.8%,1.622e+02±2.338e+01,2.236e+02±2.412e-01,2.236e+02±2.412e-01,0.0±0.0%,2.086e+02±8.842e-01,6.7±0.4%,2.086e+02±8.842e-01,6.7±0.4%,2.086e+02±8.842e-01,6.7±0.4%,2.086e+02±8.842e-01,6.7±0.4%,1.079±0.002,1.129±0.015,1.079±0.002,0.0±0.0%,1.098±0.002,43.8±16.3%,1.098±0.002,43.8±16.3%,1.098±0.002,43.8±16.3%,1.107±0.002,59.1±16.3%,0.000
2026-07-05T15:58:18+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz1,5.056e+03±9.095e-13,5.052e+03±1.032e+03,5.052e+03±1.032e+03,0.0±0.0%,5.392e+03±1.124e+03,-6.7±3.3%,5.392e+03±1.124e+03,-6.7±3.3%,5.392e+03±1.124e+03,-6.7±3.3%,5.393e+03±1.124e+03,-6.7±3.3%,1.702e+02±3.105e+01,2.356e+02±9.380e+00,2.356e+02±9.380e+00,0.0±0.0%,2.232e+02±9.273e+00,5.3±0.5%,2.232e+02±9.273e+00,5.3±0.5%,2.232e+02±9.273e+00,5.3±0.5%,2.232e+02±9.273e+00,5.3±0.5%,1.060±0.005,1.119±0.021,1.060±0.005,0.0±0.0%,1.081±0.005,41.6±17.3%,1.081±0.005,41.6±17.3%,1.081±0.005,41.6±17.3%,1.086±0.005,47.3±17.1%,0.000
2026-07-05T16:11:45+01:00,Autogluon_QR+MOEAD,dtlz1,5.056e+03±9.095e-13,5.179e+03±3.583e+03,5.179e+03±3.583e+03,0.0±0.0%,5.632e+03±3.831e+03,-8.9±9.5%,5.632e+03±3.831e+03,-8.9±9.5%,5.632e+03±3.831e+03,-8.9±9.5%,5.633e+03±3.831e+03,-9.0±9.5%,1.898e+02±3.828e+01,2.387e+02±7.720e+00,2.387e+02±7.720e+00,0.0±0.0%,2.279e+02±9.627e+00,4.5±1.4%,2.279e+02±9.627e+00,4.5±1.4%,2.279e+02±9.627e+00,4.5±1.4%,2.279e+02±9.627e+00,4.5±1.4%,1.048±0.008,1.067±0.037,1.048±0.008,0.0±0.0%,1.069±0.009,-727.2±3640.2%,1.069±0.009,-727.2±3640.2%,1.069±0.009,-727.2±3640.2%,1.070±0.011,-878.0±4403.9%,0.000
2026-07-05T16:24:52+01:00,Autogluon_QR+SMS-EMOA,dtlz1,5.056e+03±9.095e-13,5.991e+03±1.575e+03,5.991e+03±1.575e+03,0.0±0.0%,6.737e+03±1.695e+03,-12.8±2.6%,6.737e+03±1.695e+03,-12.8±2.6%,6.737e+03±1.695e+03,-12.8±2.6%,6.743e+03±1.695e+03,-13.0±2.6%,1.691e+02±2.061e+01,2.236e+02±1.857e-01,2.236e+02±1.857e-01,0.0±0.0%,2.091e+02±8.584e-01,6.5±0.4%,2.091e+02±8.584e-01,6.5±0.4%,2.091e+02±8.584e-01,6.5±0.4%,2.091e+02±8.584e-01,6.5±0.4%,1.079±0.001,1.123±0.012,1.079±0.001,0.0±0.0%,1.098±0.001,47.4±15.6%,1.098±0.001,47.4±15.6%,1.098±0.001,47.4±15.6%,1.106±0.002,62.1±14.7%,0.000
2026-07-05T16:43:19+01:00,Autogluon_QR+NSGA-II,dtlz2,2.178e-02±3.469e-18,2.446e-02±2.981e-03,2.446e-02±2.981e-03,0.0±0.0%,1.787e-02±2.583e-03,27.0±3.9%,1.787e-02±2.583e-03,27.0±3.9%,1.787e-02±2.583e-03,27.0±3.9%,1.787e-02±2.583e-03,27.0±3.9%,1.552e-01±2.345e-02,3.896e-01±9.320e-04,3.896e-01±9.320e-04,0.0±0.0%,3.472e-01±3.167e-03,10.9±0.8%,3.472e-01±3.167e-03,10.9±0.8%,3.472e-01±3.167e-03,10.9±0.8%,3.472e-01±3.167e-03,10.9±0.8%,0.981±0.000,1.073±0.006,0.981±0.000,0.0±0.0%,1.009±0.002,31.1±3.5%,1.009±0.002,31.1±3.5%,1.009±0.002,31.1±3.5%,1.009±0.002,31.2±3.7%,0.000
2026-07-05T17:01:29+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz2,2.178e-02±3.469e-18,5.569e-02±8.280e-03,5.569e-02±8.280e-03,0.0±0.0%,4.445e-02±7.221e-03,20.3±2.0%,4.445e-02±7.221e-03,20.3±2.0%,4.445e-02±7.221e-03,20.3±2.0%,4.445e-02±7.221e-03,20.3±2.0%,1.053e-01±1.955e-02,4.709e-01±9.989e-03,4.709e-01±9.989e-03,0.0±0.0%,4.321e-01±9.774e-03,8.2±0.8%,4.321e-01±9.774e-03,8.2±0.8%,4.321e-01±9.774e-03,8.2±0.8%,4.321e-01±9.774e-03,8.2±0.8%,0.961±0.002,1.084±0.005,0.961±0.002,0.0±0.0%,0.986±0.003,20.2±2.0%,0.986±0.003,20.2±2.0%,0.986±0.003,20.2±2.0%,0.986±0.003,20.3±2.1%,0.000
2026-07-05T17:19:55+01:00,Autogluon_QR+MOEAD,dtlz2,2.178e-02±3.469e-18,2.995e-02±1.534e-02,2.995e-02±1.534e-02,0.0±0.0%,2.448e-02±1.261e-02,18.2±7.1%,2.492e-02±1.316e-02,17.0±9.9%,2.418e-02±1.242e-02,19.1±6.8%,2.448e-02±1.261e-02,18.2±7.1%,2.198e-01±6.072e-02,4.371e-01±3.107e-02,4.371e-01±3.107e-02,0.0±0.0%,4.062e-01±3.451e-02,7.1±2.6%,4.080e-01±3.729e-02,6.7±3.7%,4.044e-01±3.327e-02,7.5±2.5%,4.062e-01±3.451e-02,7.1±2.6%,0.952±0.011,1.041±0.021,0.952±0.011,0.0±0.0%,0.972±0.014,23.6±9.3%,0.971±0.016,22.6±11.7%,0.973±0.014,24.7±8.7%,0.972±0.014,23.6±9.3%,0.000
2026-07-05T17:38:09+01:00,Autogluon_QR+SMS-EMOA,dtlz2,2.178e-02±3.469e-18,2.656e-02±3.792e-03,2.656e-02±3.792e-03,0.0±0.0%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.476e-01±1.790e-02,3.893e-01±6.380e-04,3.893e-01±6.380e-04,0.0±0.0%,3.438e-01±2.650e-03,11.7±0.7%,3.438e-01±2.650e-03,11.7±0.7%,3.438e-01±2.650e-03,11.7±0.7%,3.438e-01±2.650e-03,11.7±0.7%,0.981±0.000,1.075±0.005,0.981±0.000,0.0±0.0%,1.011±0.002,32.3±2.5%,1.011±0.002,32.3±2.5%,1.011±0.002,32.3±2.5%,1.011±0.002,32.6±2.6%,0.000
2026-07-05T17:51:20+01:00,Autogluon_QR+NSGA-II,dtlz3,2.899e+04±7.276e-12,2.179e+04±5.553e+03,2.179e+04±5.553e+03,0.0±0.0%,2.135e+04±5.903e+03,2.3±5.7%,2.135e+04±5.903e+03,2.3±5.7%,2.135e+04±5.903e+03,2.3±5.7%,2.138e+04±5.901e+03,2.2±5.7%,3.469e+02±6.558e+01,5.737e+02±6.045e+00,5.737e+02±6.045e+00,0.0±0.0%,5.382e+02±6.343e+00,6.2±0.3%,5.382e+02±6.343e+00,6.2±0.3%,5.382e+02±6.343e+00,6.2±0.3%,5.382e+02±6.343e+00,6.2±0.3%,1.068±0.001,1.149±0.013,1.068±0.001,0.0±0.0%,1.091±0.001,29.1±4.8%,1.091±0.001,29.1±4.8%,1.091±0.001,29.1±4.8%,1.097±0.002,36.9±6.2%,0.000
2026-07-05T18:04:23+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz3,2.899e+04±7.276e-12,3.051e+04±1.034e+04,3.051e+04±1.034e+04,0.0±0.0%,3.299e+04±1.124e+04,-8.0±2.5%,3.299e+04±1.124e+04,-8.0±2.5%,3.299e+04±1.124e+04,-8.0±2.5%,3.300e+04±1.125e+04,-8.0±2.5%,4.262e+02±9.281e+01,5.938e+02±1.861e+01,5.938e+02±1.861e+01,0.0±0.0%,5.668e+02±1.939e+01,4.5±0.5%,5.668e+02±1.939e+01,4.5±0.5%,5.668e+02±1.939e+01,4.5±0.5%,5.668e+02±1.939e+01,4.5±0.5%,1.049±0.004,1.111±0.024,1.049±0.004,0.0±0.0%,1.070±0.005,39.8±16.8%,1.070±0.005,39.8±16.8%,1.070±0.005,39.8±16.8%,1.073±0.005,44.3±19.2%,0.000
2026-07-05T18:17:26+01:00,Autogluon_QR+MOEAD,dtlz3,2.899e+04±7.276e-12,3.596e+04±3.107e+04,3.596e+04±3.107e+04,0.0±0.0%,4.151e+04±3.359e+04,-20.1±12.1%,4.146e+04±3.361e+04,-19.9±12.2%,4.179e+04±3.341e+04,-22.0±12.5%,4.152e+04±3.358e+04,-20.3±12.4%,5.351e+02±9.757e+01,5.923e+02±1.573e+01,5.923e+02±1.573e+01,0.0±0.0%,5.544e+02±1.936e+01,6.4±1.8%,5.548e+02±1.966e+01,6.3±1.9%,5.523e+02±1.927e+01,6.8±1.4%,5.544e+02±1.936e+01,6.4±1.8%,1.035±0.015,1.045±0.045,1.035±0.015,0.0±0.0%,1.064±0.018,-1013.2±3906.4%,1.063±0.019,-1015.3±3905.8%,1.066±0.016,-1013.6±3906.3%,1.066±0.020,-1097.3±4301.5%,0.000
2026-07-05T18:30:35+01:00,Autogluon_QR+SMS-EMOA,dtlz3,2.899e+04±7.276e-12,2.443e+04±5.403e+03,2.443e+04±5.403e+03,0.0±0.0%,2.511e+04±5.977e+03,-2.4±5.2%,2.511e+04±5.977e+03,-2.4±5.2%,2.511e+04±5.977e+03,-2.4±5.2%,2.512e+04±5.974e+03,-2.5±5.2%,3.415e+02±6.380e+01,5.750e+02±3.897e+00,5.750e+02±3.897e+00,0.0±0.0%,5.390e+02±4.334e+00,6.3±0.3%,5.390e+02±4.334e+00,6.3±0.3%,5.390e+02±4.334e+00,6.3±0.3%,5.390e+02±4.334e+00,6.3±0.3%,1.067±0.001,1.152±0.014,1.067±0.001,0.0±0.0%,1.091±0.001,29.6±5.8%,1.091±0.001,29.6±5.8%,1.091±0.001,29.6±5.8%,1.097±0.002,36.3±7.7%,0.000
2026-07-05T18:39:51+01:00,Autogluon_QR+NSGA-II,dtlz4,3.219e-02±0.000e+00,5.630e-02±1.298e-02,5.630e-02±1.298e-02,0.0±0.0%,6.808e-02±2.397e-02,-18.1±19.3%,6.808e-02±2.397e-02,-18.1±19.3%,6.808e-02±2.397e-02,-18.1±19.3%,6.808e-02±2.397e-02,-18.1±19.3%,5.200e-01±8.755e-03,8.837e-01±8.992e-04,8.837e-01±8.992e-04,0.0±0.0%,6.085e-01±6.962e-03,31.1±0.8%,6.085e-01±6.962e-03,31.1±0.8%,6.085e-01±6.962e-03,31.1±0.8%,6.085e-01±6.962e-03,31.1±0.8%,0.625±0.000,0.766±0.003,0.625±0.000,0.0±0.0%,0.732±0.003,75.7±2.5%,0.732±0.003,75.7±2.5%,0.732±0.003,75.7±2.5%,0.732±0.003,75.8±2.5%,0.000
2026-07-05T18:48:40+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz4,3.219e-02±0.000e+00,9.220e-02±1.430e-02,9.220e-02±1.430e-02,0.0±0.0%,5.866e-02±2.159e-02,37.3±17.2%,5.866e-02±2.159e-02,37.3±17.2%,5.866e-02±2.159e-02,37.3±17.2%,5.866e-02±2.159e-02,37.3±17.2%,4.153e-01±2.485e-02,8.831e-01±8.215e-04,8.831e-01±8.215e-04,0.0±0.0%,6.250e-01±1.296e-02,29.2±1.5%,6.250e-01±1.296e-02,29.2±1.5%,6.250e-01±1.296e-02,29.2±1.5%,6.250e-01±1.296e-02,29.2±1.5%,0.625±0.000,0.807±0.010,0.625±0.000,0.0±0.0%,0.725±0.005,55.4±4.8%,0.725±0.005,55.4±4.8%,0.725±0.005,55.4±4.8%,0.725±0.005,55.5±4.8%,0.000
2026-07-05T18:58:00+01:00,Autogluon_QR+MOEAD,dtlz4,3.219e-02±0.000e+00,6.050e-02±1.509e-03,6.050e-02±1.509e-03,0.0±0.0%,3.790e-03±7.648e-04,93.8±1.2%,3.790e-03±7.648e-04,93.8±1.2%,3.790e-03±7.648e-04,93.8±1.2%,3.790e-03±7.648e-04,93.8±1.2%,5.196e-01±8.101e-03,8.833e-01±6.361e-04,8.833e-01±6.361e-04,0.0±0.0%,6.113e-01±1.285e-03,30.8±0.1%,6.113e-01±1.285e-03,30.8±0.1%,6.113e-01±1.285e-03,30.8±0.1%,6.113e-01±1.285e-03,30.8±0.1%,0.625±0.000,0.766±0.003,0.625±0.000,0.0±0.0%,0.731±0.000,74.8±1.7%,0.731±0.000,74.8±1.7%,0.731±0.000,74.8±1.7%,0.731±0.000,75.0±1.7%,0.000
