timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:20:19+01:00,BNN+NSGA-II,dtlz1,5.166e+03±9.095e-13,1.202e+04±3.143e+03,1.202e+04±3.143e+03,0.0±0.0%,9.271e+03±2.593e+03,23.2±5.5%,9.374e+03±2.581e+03,22.3±4.4%,9.271e+03±2.593e+03,23.2±5.5%,9.322e+03±2.591e+03,22.8±5.4%,9.694e+01±1.916e+01,2.323e+02±3.771e-01,2.323e+02±3.771e-01,0.0±0.0%,2.091e+02±6.037e+00,10.0±2.6%,2.102e+02±4.225e+00,9.5±1.8%,2.091e+02±6.037e+00,10.0±2.6%,2.091e+02±6.037e+00,10.0±2.6%,1.061±0.001,1.184±0.010,1.058±0.001,-2.5±0.2%,1.089±0.011,23.1±9.6%,1.087±0.008,21.3±6.3%,1.089±0.011,23.1±9.6%,1.117±0.013,45.4±11.8%,0.000
2026-07-05T15:33:56+01:00,BNN+Dual-Ranking+NSGA-II,dtlz1,5.166e+03±9.095e-13,3.989e+03±1.059e+03,3.989e+03±1.059e+03,0.0±0.0%,4.062e+03±1.031e+03,-4.2±20.3%,4.046e+03±9.758e+02,-4.0±19.1%,4.062e+03±1.031e+03,-4.2±20.3%,4.118e+03±1.034e+03,-5.7±20.5%,1.458e+02±3.628e+01,2.341e+02±7.273e-01,2.341e+02±7.273e-01,0.0±0.0%,2.185e+02±8.767e+00,6.7±3.7%,2.200e+02±6.747e+00,6.0±2.9%,2.185e+02±8.767e+00,6.7±3.7%,2.185e+02±8.767e+00,6.7±3.7%,1.059±0.001,1.146±0.023,1.056±0.001,-3.7±1.4%,1.074±0.017,17.6±22.9%,1.071±0.012,13.7±16.4%,1.074±0.017,17.6±22.9%,1.098±0.019,42.8±20.5%,0.000
2026-07-05T15:46:45+01:00,BNN+MOEAD,dtlz1,5.166e+03±9.095e-13,6.393e+03±7.432e+03,6.393e+03±7.432e+03,0.0±0.0%,7.052e+03±7.034e+03,-19.1±38.3%,6.797e+03±6.117e+03,-24.4±52.2%,8.162e+03±8.241e+03,-40.3±22.7%,7.079e+03±7.039e+03,-19.8±38.9%,2.341e+02±6.287e+01,2.397e+02±2.980e+00,2.397e+02±2.980e+00,0.0±0.0%,2.422e+02±2.536e+01,-1.0±10.6%,2.515e+02±3.807e+01,-4.9±15.9%,2.307e+02±1.307e+01,3.8±5.4%,2.422e+02±2.536e+01,-1.0±10.6%,1.033±0.007,1.006±0.079,1.033±0.007,0.0±0.2%,1.022±0.047,-110.3±211.7%,1.002±0.074,-190.3±380.7%,1.044±0.024,-36.5±77.7%,1.032±0.055,-183.1±312.0%,0.371
2026-07-05T15:56:57+01:00,BNN+SMS-EMOA,dtlz1,5.166e+03±9.095e-13,2.027e+04±1.280e+03,2.027e+04±1.280e+03,0.0±0.0%,1.521e+04±9.523e+02,25.0±1.5%,1.521e+04±9.523e+02,25.0±1.5%,1.521e+04±9.523e+02,25.0±1.5%,1.527e+04±9.531e+02,24.7±1.5%,8.054e+01±1.834e+00,2.317e+02±6.167e-02,2.317e+02±6.167e-02,0.0±0.0%,2.020e+02±1.715e+00,12.8±0.7%,2.020e+02±1.715e+00,12.8±0.7%,2.020e+02±1.715e+00,12.8±0.7%,2.020e+02±1.715e+00,12.8±0.7%,1.062±0.001,1.195±0.001,1.059±0.001,-2.3±0.0%,1.102±0.003,30.2±2.3%,1.102±0.003,30.2±2.3%,1.102±0.003,30.2±2.3%,1.132±0.004,52.6±2.8%,0.000
2026-07-05T15:21:12+01:00,BNN+NSGA-II,dtlz2,2.998e-02±3.469e-18,1.044e+00±7.115e-02,1.044e+00±7.115e-02,0.0±0.0%,9.736e-01±6.302e-02,6.7±1.4%,1.068e+00±6.766e-02,-2.4±1.5%,8.884e-01±5.921e-02,14.9±1.5%,9.736e-01±6.302e-02,6.7±1.4%,1.754e+00±7.595e-02,5.666e-01±8.219e-04,5.666e-01±8.219e-04,0.0±0.0%,6.191e-01±1.094e-02,-9.3±2.0%,5.509e-01±9.586e-03,2.8±1.7%,6.859e-01±1.399e-02,-21.1±2.5%,6.191e-01±1.094e-02,-9.3±2.0%,0.921±0.001,0.418±0.036,0.921±0.001,0.0±0.0%,0.894±0.006,5.3±1.1%,0.930±0.005,-1.9±1.2%,0.858±0.007,12.5±1.3%,0.894±0.006,5.3±1.1%,0.000
2026-07-05T15:34:49+01:00,BNN+Dual-Ranking+NSGA-II,dtlz2,2.998e-02±3.469e-18,7.194e-01±9.459e-02,7.194e-01±9.459e-02,0.0±0.0%,6.684e-01±8.710e-02,7.1±1.3%,7.411e-01±9.186e-02,-3.1±1.5%,6.036e-01±8.263e-02,16.2±1.7%,6.684e-01±8.710e-02,7.1±1.3%,1.483e+00±8.140e-02,5.736e-01±2.701e-03,5.736e-01±2.701e-03,0.0±0.0%,6.199e-01±9.155e-03,-8.1±1.7%,5.569e-01±7.915e-03,2.9±1.4%,6.818e-01±1.171e-02,-18.9±2.2%,6.199e-01±9.155e-03,-8.1±1.7%,0.919±0.001,0.557±0.038,0.919±0.001,0.0±0.0%,0.895±0.005,6.6±1.2%,0.929±0.004,-2.8±1.3%,0.862±0.006,15.9±1.9%,0.895±0.005,6.6±1.2%,0.000
2026-07-05T15:46:59+01:00,BNN+MOEAD,dtlz2,2.998e-02±3.469e-18,4.465e-01±8.677e-02,4.465e-01±8.677e-02,0.0±0.0%,4.082e-01±8.240e-02,8.6±4.2%,4.616e-01±9.157e-02,-3.6±7.1%,3.596e-01±7.629e-02,19.7±3.6%,4.082e-01±8.240e-02,8.6±4.2%,1.207e+00±1.084e-01,5.822e-01±4.257e-03,5.822e-01±4.257e-03,0.0±0.0%,6.279e-01±2.444e-02,-7.9±4.3%,5.698e-01±3.852e-02,2.1±6.7%,6.878e-01±1.980e-02,-18.2±3.4%,6.279e-01±2.444e-02,-7.9±4.3%,0.901±0.007,0.670±0.050,0.901±0.007,0.0±0.0%,0.877±0.016,10.1±4.3%,0.908±0.023,-4.0±7.2%,0.845±0.014,24.8±5.6%,0.877±0.016,10.1±4.3%,0.000
2026-07-05T15:56:37+01:00,BNN+SMS-EMOA,dtlz2,2.998e-02±3.469e-18,1.355e+00±2.678e-02,1.355e+00±2.678e-02,0.0±0.0%,1.257e+00±2.462e-02,7.2±1.2%,1.361e+00±3.199e-02,-0.5±1.8%,1.162e+00±2.105e-02,14.3±0.9%,1.257e+00±2.462e-02,7.2±1.2%,1.941e+00±8.734e-02,5.635e-01±2.012e-04,5.635e-01±2.012e-04,0.0±0.0%,6.280e-01±1.097e-02,-11.4±1.9%,5.612e-01±1.546e-02,0.4±2.7%,6.934e-01±9.488e-03,-23.0±1.7%,6.280e-01±1.097e-02,-11.4±1.9%,0.922±0.001,0.304±0.028,0.922±0.001,0.0±0.0%,0.889±0.006,5.3±0.9%,0.924±0.008,-0.4±1.4%,0.854±0.005,11.0±0.8%,0.889±0.006,5.3±0.9%,0.000
2026-07-05T15:20:20+01:00,BNN+NSGA-II,dtlz3,3.045e+04±7.276e-12,8.332e+04±1.790e+04,8.332e+04±1.790e+04,0.0±0.0%,4.201e+04±1.037e+04,49.9±2.6%,4.201e+04±1.037e+04,49.9±2.6%,4.201e+04±1.037e+04,49.9±2.6%,4.234e+04±1.036e+04,49.4±2.5%,2.416e+02±1.837e+01,6.359e+02±6.447e-01,6.359e+02±6.447e-01,0.0±0.0%,4.694e+02±5.342e+00,26.2±0.9%,4.694e+02±5.342e+00,26.2±0.9%,4.694e+02±5.342e+00,26.2±0.9%,4.694e+02±5.342e+00,26.2±0.9%,1.005±0.001,1.187±0.006,1.005±0.001,0.0±0.0%,1.121±0.002,63.8±2.5%,1.121±0.002,63.8±2.5%,1.121±0.002,63.8±2.5%,1.166±0.005,88.7±4.0%,0.000
2026-07-05T15:33:50+01:00,BNN+Dual-Ranking+NSGA-II,dtlz3,3.045e+04±7.276e-12,2.527e+04±1.002e+04,2.527e+04±1.002e+04,0.0±0.0%,3.368e+04±1.294e+04,-51.9±73.0%,3.368e+04±1.294e+04,-51.9±73.0%,3.368e+04±1.294e+04,-51.9±73.0%,3.421e+04±1.300e+04,-54.3±73.7%,3.888e+02±9.255e+01,6.423e+02±2.464e+00,6.423e+02±2.464e+00,0.0±0.0%,4.667e+02±8.062e+00,27.3±1.2%,4.667e+02±8.062e+00,27.3±1.2%,4.667e+02±8.062e+00,27.3±1.2%,4.667e+02±8.062e+00,27.3±1.2%,1.001±0.001,1.139±0.029,1.001±0.001,0.0±0.0%,1.121±0.003,79.6±10.9%,1.121±0.003,79.6±10.9%,1.121±0.003,79.6±10.9%,1.171±0.007,69.5±30.0%,0.000
