timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:34:55+01:00,DDMOEA-GAN,dtlz1,8.757e+03±1.819e-12,3.605e+03±7.056e+02,2.957e+03±6.857e+02,18.5±3.1%,4.891e+03±1.579e+03,-39.5±51.2%,5.080e+03±1.479e+03,-45.0±48.8%,7.011e+03±9.568e+02,-98.9±33.6%,5.078e+03±1.460e+03,-44.7±48.1%,9.295e+01±9.377e+00,1.182e+02±9.721e-01,1.182e+02±9.721e-01,0.0±0.0%,1.863e+02±2.051e+01,-57.6±17.5%,1.597e+02±4.350e+01,-35.1±36.9%,2.156e+02±6.625e+00,-82.4±5.7%,1.863e+02±2.051e+01,-57.6±17.5%,1.333±0.003,1.189±0.003,1.180±0.000,93.9±1.9%,1.131±0.021,59.7±15.8%,1.145±0.032,69.3±22.8%,1.101±0.012,38.9±9.3%,1.178±0.052,68.3±20.7%,0.000
2026-07-05T15:36:05+01:00,DDMOEA-GAN,dtlz2,1.497e-01±2.776e-17,2.932e+00±7.366e-02,2.924e+00±7.400e-02,0.3±0.0%,2.112e+00±6.823e-02,28.0±1.6%,2.112e+00±6.823e-02,28.0±1.6%,2.112e+00±6.823e-02,28.0±1.6%,2.112e+00±6.823e-02,28.0±1.6%,1.765e+00±9.732e-02,0.000e+00±0.000e+00,0.000e+00±0.000e+00,0.0±0.0%*,8.239e-02±2.091e-02,0.0±0.0%*,8.239e-02±2.091e-02,0.0±0.0%*,8.239e-02±2.091e-02,0.0±0.0%*,8.239e-02±2.091e-02,0.0±0.0%*,1.310±0.003,0.361±0.044,1.182±0.000,13.5±0.7%,1.046±0.016,27.8±1.9%,1.046±0.016,27.8±1.9%,1.046±0.016,27.8±1.9%,1.046±0.016,27.8±2.0%,0.000
2026-07-05T15:37:06+01:00,DDMOEA-GAN,dtlz3,4.680e+04±0.000e+00,8.129e+03±2.324e+03,6.374e+03±2.253e+03,22.9±5.1%,1.271e+04±1.812e+03,-64.9±35.9%,1.271e+04±1.812e+03,-64.9±35.9%,1.271e+04±1.812e+03,-64.9±35.9%,1.273e+04±1.810e+03,-65.2±36.0%,2.294e+02±4.426e+00,2.195e+02±1.080e+00,2.195e+02±1.080e+00,0.0±0.0%,3.721e+02±1.332e+01,-69.6±5.9%,3.721e+02±1.332e+01,-69.6±5.9%,3.721e+02±1.332e+01,-69.6±5.9%,3.721e+02±1.332e+01,-69.6±5.9%,1.303±0.004,1.193±0.001,1.192±0.000,99.0±0.6%,1.144±0.006,55.2±5.4%,1.144±0.006,55.2±5.4%,1.144±0.006,55.2±5.4%,1.153±0.011,63.6±9.2%,0.000
2026-07-05T15:38:22+01:00,DDMOEA-GAN,dtlz4,1.722e-01±5.551e-17,1.741e+00±9.436e-02,1.671e+00±9.824e-02,4.0±0.5%,1.652e+00±9.205e-02,5.1±0.4%,2.401e+00±9.434e-02,-38.2±6.6%,1.079e+00±1.219e-01,38.2±4.2%,1.689e+00±9.079e-02,3.0±0.3%,2.101e+00±3.418e-02,8.231e-02±1.138e-02,8.231e-02±1.138e-02,0.0±0.0%,8.231e-02±1.138e-02,0.0±0.0%,1.379e-03±1.703e-03,98.4±2.1%,2.880e-01±4.788e-02,-250.2±35.4%,8.231e-02±1.138e-02,0.0±0.0%,1.172±0.012,0.149±0.032,1.035±0.012,13.4±0.4%,1.031±0.012,13.8±0.4%,1.191±0.014,-1.8±1.6%,0.869±0.026,29.7±1.8%,1.129±0.013,4.2±0.3%,0.000
2026-07-05T15:39:36+01:00,DDMOEA-GAN,dtlz5,1.408e-01±2.776e-17,3.397e+00±6.218e-02,3.388e+00±6.229e-02,0.3±0.0%,2.524e+00±7.305e-02,25.7±1.3%,2.524e+00±7.305e-02,25.7±1.3%,2.524e+00±7.305e-02,25.7±1.3%,2.524e+00±7.305e-02,25.7±1.3%,2.015e+00±7.529e-02,0.000e+00±0.000e+00,0.000e+00±0.000e+00,0.0±0.0%*,2.973e-02±5.597e-03,0.0±0.0%*,2.973e-02±5.597e-03,0.0±0.0%*,2.973e-02±5.597e-03,0.0±0.0%*,2.973e-02±5.597e-03,0.0±0.0%*,1.309±0.003,0.133±0.022,1.187±0.000,10.4±0.3%,1.043±0.013,22.7±1.2%,1.043±0.013,22.7±1.2%,1.043±0.013,22.7±1.2%,1.043±0.013,22.7±1.2%,0.000
2026-07-05T15:40:42+01:00,DDMOEA-GAN,dtlz6,1.488e+00±4.441e-16,4.876e+00±3.075e-01,4.713e+00±3.131e-01,3.4±0.5%,2.752e+00±2.254e-01,43.6±1.5%,2.752e+00±2.254e-01,43.6±1.5%,2.752e+00±2.254e-01,43.6±1.5%,2.760e+00±2.251e-01,43.4±1.5%,4.905e+00±1.297e-01,1.957e+00±1.167e-02,1.957e+00±1.167e-02,0.0±0.0%,3.067e+00±5.043e-02,-56.7±2.9%,3.067e+00±5.043e-02,-56.7±2.9%,3.067e+00±5.043e-02,-56.7±2.9%,3.067e+00±5.043e-02,-56.7±2.9%,1.269±0.007,0.881±0.013,1.128±0.001,36.4±1.5%,1.045±0.006,57.9±2.4%,1.045±0.006,57.9±2.4%,1.045±0.006,57.9±2.4%,1.075±0.011,50.1±3.1%,0.000
2026-07-05T15:41:53+01:00,DDMOEA-GAN,dtlz7,1.409e+00±4.441e-16,1.103e+01±1.388e+00,1.103e+01±1.388e+00,0.0±0.0%,5.936e+00±8.762e-01,46.2±3.5%,5.936e+00±8.762e-01,46.2±3.5%,5.936e+00±8.762e-01,46.2±3.5%,5.936e+00±8.762e-01,46.2±3.5%,7.981e-01±3.548e-01,0.000e+00±0.000e+00,0.000e+00±0.000e+00,0.0±0.0%*,1.454e-02±2.145e-03,0.0±0.0%*,1.454e-02±2.145e-03,0.0±0.0%*,1.454e-02±2.145e-03,0.0±0.0%*,1.454e-02±2.145e-03,0.0±0.0%*,1.279±0.008,1.056±0.021,1.178±0.001,45.7±4.4%,1.126±0.005,69.3±5.3%,1.126±0.005,69.3±5.3%,1.126±0.005,69.3±5.3%,1.137±0.007,64.0±4.5%,0.000
2026-07-05T15:42:57+01:00,DDMOEA-GAN,omnitest,1.081e+00±0.000e+00,2.089e+00±2.542e-04,2.089e+00±2.542e-04,0.0±0.0%,3.265e-01±2.691e-04,84.4±0.0%,3.265e-01±2.691e-04,84.4±0.0%,3.265e-01±2.691e-04,84.4±0.0%,3.265e-01±2.691e-04,84.4±0.0%,3.473e+00±2.610e-04,1.815e+00±1.282e-08,1.815e+00±1.282e-08,0.0±0.0%,2.730e+00±4.854e-09,-50.4±0.0%,2.730e+00±4.854e-09,-50.4±0.0%,2.730e+00±4.854e-09,-50.4±0.0%,2.730e+00±4.854e-09,-50.4±0.0%,0.461±0.000,0.141±0.000,0.461±0.000,0.0±0.0%,0.283±0.000,55.7±0.0%,0.283±0.000,55.7±0.0%,0.283±0.000,55.7±0.0%,0.283±0.000,55.7±0.0%,0.000
2026-07-05T15:43:53+01:00,DDMOEA-GAN,truss2d,2.739e+12±4.883e-04,1.664e+23±6.756e+23,1.664e+23±6.756e+23,0.0±0.0%,1.664e+23±6.756e+23,-0.0±0.0%,1.664e+23±6.756e+23,0.0±0.0%,1.664e+23±6.756e+23,-0.0±0.0%,1.664e+23±6.756e+23,-0.0±0.0%,1.229e+05±1.125e+05,2.478e+04±3.189e-02,2.478e+04±3.189e-02,0.0±0.0%,2.065e+04±9.237e+03,16.7±37.3%,1.214e+05±5.609e+04,-389.9±226.3%,2.144e-03±5.979e-03,100.0±0.0%,2.065e+04±9.237e+03,16.7±37.3%,0.766±0.000,1.210±0.000,0.766±0.000,0.0±0.0%,1.108±0.134,77.0±30.3%,1.161±0.009,89.1±2.1%,1.067±0.246,67.9±55.3%,1.108±0.134,77.0±30.3%,0.000
2026-07-05T15:44:48+01:00,DDMOEA-GAN,welded_beam,3.251e+03±1.364e-12,4.148e+05±3.803e+05,4.148e+05±3.803e+05,0.0±0.0%,4.150e+05±3.802e+05,-0.7±2.6%,4.154e+05±3.803e+05,-4.8±12.2%,4.149e+05±3.802e+05,0.9±6.5%,4.150e+05±3.802e+05,-0.7±2.6%,8.520e-01±7.336e-01,0.000e+00±0.000e+00,0.000e+00±0.000e+00,0.0±0.0%*,2.325e+00±2.853e+00,0.0±0.0%*,6.071e+00±3.656e-01,0.0±0.0%*,2.325e+00±2.853e+00,0.0±0.0%*,2.325e+00±2.853e+00,0.0±0.0%*,0.599±0.000,0.590±0.005,0.599±0.000,2.0±1.8%,0.588±0.014,-132.7±325.1%,0.570±0.001,-290.0±434.3%,0.588±0.014,-132.7±325.1%,0.588±0.014,-132.9±323.1%,0.000
