timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:32:33+01:00,GPR_Matern+NSGA-II,dtlz1,4.807e+03±9.095e-13,8.943e+03±3.200e+03,8.940e+03±3.200e+03,0.0±0.0%,5.835e+03±2.479e+03,33.1±19.2%,4.342e+03±1.455e+03,49.5±12.8%,8.267e+03±5.537e+03,4.5±57.9%,6.066e+03±2.399e+03,30.0±18.8%,1.218e+02±2.511e+01,3.057e+02±1.657e-01,3.057e+02±1.657e-01,0.0±0.0%,2.555e+02±2.579e+01,16.4±8.5%,2.315e+02±4.195e-01,24.3±0.1%,2.713e+02±4.591e+01,11.3±15.0%,2.555e+02±2.579e+01,16.4±8.5%,1.020±0.000,1.163±0.016,1.014±0.000,-4.3±0.5%,1.071±0.029,36.6±21.8%,1.098±0.000,55.2±6.7%,1.037±0.075,13.4±52.9%,1.134±0.060,57.4±23.6%,0.000
2026-07-05T15:32:53+01:00,GPR_Matern+Dual-Ranking+NSGA-II,dtlz1,4.807e+03±9.095e-13,7.442e+03±2.601e+03,7.440e+03±2.601e+03,0.0±0.0%,5.068e+03±2.235e+03,29.6±22.1%,3.687e+03±1.077e+03,47.8±17.1%,7.685e+03±4.924e+03,-12.0±69.9%,5.285e+03±2.164e+03,26.3±22.0%,1.287e+02±2.618e+01,3.059e+02±2.256e-01,3.059e+02±2.256e-01,0.0±0.0%,2.596e+02±2.658e+01,15.1±8.7%,2.316e+02±4.716e-01,24.3±0.2%,2.787e+02±4.808e+01,8.9±15.7%,2.596e+02±2.658e+01,15.1±8.7%,1.019±0.001,1.157±0.017,1.013±0.000,-4.4±0.5%,1.066±0.030,34.5±22.7%,1.097±0.000,57.5±8.3%,1.025±0.078,3.2±59.2%,1.125±0.061,54.3±24.5%,0.000
2026-07-05T15:33:31+01:00,GPR_Matern+MOEAD,dtlz1,4.807e+03±9.095e-13,3.980e+03±2.607e+03,3.980e+03±2.607e+03,0.0±0.0%,7.319e+03±5.658e+03,-80.0±65.6%,7.853e+03±5.555e+03,-99.2±69.3%,7.856e+03±5.372e+03,-102.6±67.2%,7.594e+03±5.716e+03,-88.5±67.4%,2.039e+02±4.529e+01,3.081e+02±9.529e-01,3.081e+02±9.529e-01,0.0±0.0%,2.451e+02±2.244e+01,20.5±7.3%,2.313e+02±2.931e+00,24.9±0.9%,2.559e+02±4.154e+01,17.0±13.5%,2.451e+02±2.244e+01,20.5±7.3%,1.002±0.007,1.055±0.049,1.000±0.006,-11.1±51.8%,1.078±0.031,-400.2±1576.8%,1.096±0.003,-410.3±1575.3%,1.055±0.072,-428.4±1570.1%,1.145±0.055,-854.0±3015.9%,0.000
2026-07-05T15:34:01+01:00,GPR_Matern+SMS-EMOA,dtlz1,4.807e+03±9.095e-13,1.255e+04±4.335e+03,1.255e+04±4.335e+03,0.0±0.0%,6.982e+03±3.648e+03,46.3±14.2%,6.045e+03±2.553e+03,52.9±3.8%,8.026e+03±6.147e+03,39.6±31.5%,7.237e+03±3.569e+03,43.8±13.1%,1.022e+02±1.475e+01,3.055e+02±7.373e-02,3.055e+02±7.373e-02,0.0±0.0%,2.419e+02±2.081e+01,20.8±6.8%,2.315e+02±9.500e-02,24.2±0.0%,2.472e+02±3.353e+01,19.1±11.0%,2.419e+02±2.081e+01,20.8±6.8%,1.021±0.000,1.176±0.012,1.015±0.000,-3.9±0.3%,1.087±0.023,43.1±15.9%,1.098±0.000,50.4±4.2%,1.075±0.053,35.9±34.1%,1.167±0.048,77.3±24.5%,0.000
2026-07-05T15:34:22+01:00,GPR_Matern+NSGA-II,dtlz2,1.871e-02±3.469e-18,1.620e-02±4.041e-03,1.496e-02±4.137e-03,8.5±3.8%,9.849e-03±2.517e-03,39.2±2.9%,9.849e-03±2.517e-03,39.2±2.9%,9.849e-03±2.517e-03,39.2±2.9%,1.203e-02±2.466e-03,24.4±7.0%,8.267e-02±2.220e-02,2.527e-01±8.844e-04,2.527e-01±8.844e-04,0.0±0.0%,2.115e-01±2.197e-03,16.3±0.8%,2.115e-01±2.197e-03,16.3±0.8%,2.115e-01±2.197e-03,16.3±0.8%,2.115e-01±2.197e-03,16.3±0.8%,1.123±0.001,1.094±0.006,1.056±0.000,-40.1±41.8%,1.066±0.001,-2.5±34.4%,1.066±0.001,-2.5±34.4%,1.066±0.001,-2.5±34.4%,1.151±0.001,-99.6±20.4%,0.000
2026-07-05T15:34:44+01:00,GPR_Matern+Dual-Ranking+NSGA-II,dtlz2,1.871e-02±3.469e-18,1.797e-02±3.509e-03,1.677e-02±3.530e-03,7.1±2.3%,1.085e-02±2.198e-03,39.6±2.3%,1.085e-02±2.198e-03,39.6±2.3%,1.085e-02±2.198e-03,39.6±2.3%,1.299e-02±2.235e-03,27.1±4.6%,6.922e-02±1.443e-02,2.544e-01±8.602e-04,2.544e-01±8.602e-04,0.0±0.0%,2.131e-01±2.954e-03,16.2±1.1%,2.131e-01±2.954e-03,16.2±1.1%,2.131e-01±2.954e-03,16.2±1.1%,2.131e-01±2.954e-03,16.2±1.1%,1.122±0.001,1.097±0.003,1.055±0.000,-71.9±36.2%,1.066±0.001,-28.8±30.0%,1.066±0.001,-28.8±30.0%,1.066±0.001,-28.8±30.0%,1.149±0.002,-114.2±19.0%,0.000
2026-07-05T15:35:21+01:00,GPR_Matern+MOEAD,dtlz2,1.871e-02±3.469e-18,1.280e-02±6.198e-03,1.186e-02±6.190e-03,9.1±4.4%,9.158e-03±4.248e-03,26.0±13.4%,1.029e-02±5.643e-03,15.2±33.3%,8.585e-03±3.848e-03,30.5±12.7%,1.084e-02±4.287e-03,10.3±15.9%,1.428e-01±5.010e-02,2.616e-01±4.635e-03,2.616e-01±4.635e-03,0.0±0.0%,2.323e-01±1.812e-02,11.2±6.9%,2.389e-01±3.103e-02,8.6±11.9%,2.244e-01±8.926e-03,14.2±3.1%,2.323e-01±1.812e-02,11.2±6.9%,1.096±0.012,1.069±0.015,1.051±0.003,-24.4±185.7%,1.059±0.005,24.4±82.9%,1.057±0.010,17.9±85.4%,1.061±0.003,27.0±79.6%,1.116±0.016,-134.7±274.6%,0.000
2026-07-05T15:35:50+01:00,GPR_Matern+SMS-EMOA,dtlz2,1.871e-02±3.469e-18,1.624e-02±3.603e-03,1.515e-02±3.623e-03,7.1±2.3%,9.050e-03±1.782e-03,43.8±3.7%,9.050e-03±1.782e-03,43.8±3.7%,9.050e-03±1.782e-03,43.8±3.7%,1.098e-02±1.837e-03,31.1±6.8%,8.635e-02±1.605e-02,2.510e-01±8.342e-04,2.510e-01±8.342e-04,0.0±0.0%,2.041e-01±3.397e-03,18.7±1.3%,2.041e-01±3.397e-03,18.7±1.3%,2.041e-01±3.397e-03,18.7±1.3%,2.041e-01±3.397e-03,18.7±1.3%,1.122±0.002,1.094±0.004,1.057±0.000,-37.8±33.8%,1.069±0.001,5.9±25.8%,1.069±0.001,5.9±25.8%,1.069±0.001,5.9±25.8%,1.153±0.003,-115.7±22.6%,0.000
2026-07-05T15:36:11+01:00,GPR_Matern+NSGA-II,dtlz3,2.676e+04±1.091e-11,2.274e+04±6.110e+03,2.274e+04±6.110e+03,0.0±0.0%,2.921e+04±1.050e+04,-42.8±75.0%,3.057e+04±1.047e+04,-51.6±79.2%,3.143e+04±1.220e+04,-53.8±80.1%,3.126e+04±1.080e+04,-52.3±77.9%,4.236e+02±8.459e+01,8.805e+02±1.113e-01,8.805e+02±1.113e-01,0.0±0.0%,7.037e+02±3.702e+01,20.1±4.2%,6.909e+02±6.666e+00,21.5±0.8%,7.078e+02±4.989e+01,19.6±5.7%,7.037e+02±3.702e+01,20.1±4.2%,0.936±0.000,1.115±0.026,0.936±0.000,0.0±0.0%,1.050±0.028,62.8±17.4%,1.060±0.004,69.1±8.8%,1.040±0.062,57.0±36.3%,1.153±0.061,59.2±30.3%,0.000
2026-07-05T15:36:33+01:00,GPR_Matern+Dual-Ranking+NSGA-II,dtlz3,2.676e+04±1.091e-11,2.578e+04±9.680e+03,2.578e+04±9.680e+03,0.0±0.0%,2.840e+04±8.213e+03,-30.8±69.1%,2.826e+04±8.649e+03,-32.2±73.8%,2.840e+04±8.213e+03,-30.8±69.1%,3.034e+04±8.437e+03,-39.8±73.2%,4.097e+02±8.812e+01,8.805e+02±7.034e-02,8.805e+02±7.034e-02,0.0±0.0%,7.014e+02±1.697e+01,20.3±1.9%,6.962e+02±8.501e+00,20.9±1.0%,7.014e+02±1.697e+01,20.3±1.9%,7.014e+02±1.697e+01,20.3±1.9%,0.936±0.000,1.121±0.025,0.936±0.000,0.0±0.0%,1.052±0.018,64.1±14.4%,1.058±0.005,67.3±11.3%,1.052±0.018,64.1±14.4%,1.156±0.044,68.0±21.6%,0.000
