timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:32:05+01:00,GPR_RBF+NSGA-II,dtlz1,4.638e+03±0.000e+00,9.880e+03±4.111e+03,9.875e+03±4.111e+03,0.1±0.1%,7.616e+03±3.361e+03,22.3±11.4%,4.639e+03±1.813e+03,49.6±19.5%,1.438e+04±5.694e+03,-54.4±47.0%,7.787e+03±3.305e+03,19.9±11.4%,1.313e+02±2.668e+01,3.149e+02±1.970e-01,3.149e+02±1.970e-01,0.0±0.0%,2.788e+02±1.291e+01,11.4±4.1%,2.329e+02±1.980e+00,26.0±0.6%,3.185e+02±2.581e+01,-1.2±8.2%,2.788e+02±1.291e+01,11.4±4.1%,1.025±0.000,1.161±0.019,1.008±0.000,-12.3±2.3%,1.051±0.014,20.1±11.6%,1.099±0.002,55.5±10.0%,0.965±0.044,-44.9±33.8%,1.104±0.031,53.1±11.4%,0.000
2026-07-05T15:32:28+01:00,GPR_RBF+Dual-Ranking+NSGA-II,dtlz1,4.638e+03±0.000e+00,9.157e+03±4.730e+03,9.151e+03±4.730e+03,0.1±0.1%,7.136e+03±3.828e+03,20.2±13.2%,4.482e+03±2.051e+03,45.3±20.4%,1.366e+04±6.767e+03,-60.1±55.0%,7.346e+03±3.770e+03,16.7±14.6%,1.346e+02±2.896e+01,3.149e+02±1.918e-01,3.149e+02±1.918e-01,0.0±0.0%,2.760e+02±1.649e+01,12.3±5.3%,2.333e+02±1.795e+00,25.9±0.6%,3.144e+02±3.274e+01,0.1±10.4%,2.760e+02±1.649e+01,12.3±5.3%,1.024±0.000,1.155±0.023,1.008±0.000,-12.9±2.6%,1.054±0.017,23.4±15.1%,1.098±0.002,58.3±12.8%,0.970±0.053,-41.9±44.1%,1.111±0.040,54.9±15.5%,0.000
2026-07-05T15:33:07+01:00,GPR_RBF+MOEAD,dtlz1,4.638e+03±0.000e+00,4.447e+03±2.667e+03,4.444e+03±2.667e+03,0.1±0.1%,7.359e+03±5.795e+03,-62.9±63.9%,9.920e+03±6.174e+03,-134.1±82.6%,8.799e+03±5.090e+03,-117.3±72.7%,7.544e+03±5.960e+03,-67.5±69.1%,2.355e+02±4.855e+01,3.171e+02±7.463e-01,3.171e+02±7.463e-01,0.0±0.0%,2.797e+02±2.513e+01,11.8±8.0%,2.357e+02±3.861e+00,25.7±1.2%,3.171e+02±4.685e+01,0.0±14.9%,2.797e+02±2.513e+01,11.8±8.0%,1.001±0.010,1.022±0.060,0.997±0.007,-10.2±57.4%,1.045±0.032,-110.9±257.2%,1.095±0.004,-607.9±1997.4%,0.960±0.080,-645.0±2066.3%,1.083±0.058,-257.2±500.8%,0.000
2026-07-05T15:33:39+01:00,GPR_RBF+SMS-EMOA,dtlz1,4.638e+03±0.000e+00,2.449e+04±5.797e+03,2.448e+04±5.797e+03,0.0±0.0%,1.944e+04±5.021e+03,21.0±2.1%,1.235e+04±3.864e+03,50.5±4.1%,3.071e+04±6.196e+03,-27.0±10.3%,1.955e+04±5.017e+03,20.6±2.0%,9.159e+01±9.901e+00,3.145e+02±6.756e-02,3.145e+02±6.756e-02,0.0±0.0%,2.791e+02±1.911e+00,11.3±0.6%,2.310e+02±1.121e+00,26.6±0.4%,3.227e+02±8.900e+00,-2.6±2.8%,2.791e+02±1.911e+00,11.3±0.6%,1.026±0.000,1.188±0.006,1.010±0.000,-10.2±0.4%,1.052±0.002,15.8±1.6%,1.101±0.001,46.6±2.2%,0.958±0.018,-42.6±11.3%,1.103±0.004,47.9±3.5%,0.000
2026-07-05T15:34:04+01:00,GPR_RBF+NSGA-II,dtlz2,2.781e-02±1.041e-17,4.879e-02±2.141e-02,4.838e-02±2.141e-02,1.0±0.5%,4.766e-02±2.155e-02,0.5±24.8%,4.137e-02±1.983e-02,11.3±32.2%,5.513e-02±2.583e-02,-14.5±31.4%,4.821e-02±2.157e-02,-1.0±25.8%,5.199e-01±8.137e-02,4.927e-01±3.924e-04,4.927e-01±3.924e-04,0.0±0.0%,4.932e-01±3.492e-02,-0.1±7.1%,5.229e-01±5.227e-02,-6.1±10.6%,4.670e-01±3.973e-02,5.2±8.1%,4.932e-01±3.492e-02,-0.1±7.1%,1.036±0.000,0.966±0.026,0.992±0.000,56.2±43.4%,0.992±0.010,51.5±39.9%,0.983±0.015,58.9±45.9%,1.000±0.011,43.5±37.9%,1.037±0.021,-5.3±44.2%,0.000
2026-07-05T15:34:30+01:00,GPR_RBF+Dual-Ranking+NSGA-II,dtlz2,2.781e-02±1.041e-17,3.957e-02±2.213e-02,3.911e-02±2.210e-02,1.6±1.1%,3.696e-02±2.148e-02,4.5±27.7%,3.002e-02±1.969e-02,20.9±35.7%,4.783e-02±2.903e-02,-22.4±37.9%,3.753e-02±2.145e-02,1.9±29.9%,5.104e-01±8.020e-02,4.932e-01±4.613e-04,4.932e-01±4.613e-04,0.0±0.0%,4.977e-01±3.142e-02,-0.9±6.3%,5.346e-01±5.219e-02,-8.4±10.6%,4.587e-01±4.264e-02,7.0±8.6%,4.977e-01±3.142e-02,-0.9±6.3%,1.035±0.000,0.973±0.027,0.992±0.000,63.6±23.7%,0.991±0.009,61.4±23.9%,0.980±0.015,60.0±28.8%,1.002±0.012,48.8±22.3%,1.034±0.019,-1.0±45.1%,0.000
2026-07-05T15:35:10+01:00,GPR_RBF+MOEAD,dtlz2,2.781e-02±1.041e-17,2.989e-02±1.948e-02,2.943e-02±1.948e-02,2.3±1.8%,3.536e-02±2.256e-02,-24.3±35.5%,4.020e-02±2.393e-02,-41.5±48.0%,3.323e-02±2.338e-02,-21.0±53.1%,3.646e-02±2.271e-02,-29.8±39.4%,5.144e-01±9.548e-02,4.970e-01±4.360e-03,4.970e-01±4.360e-03,0.0±0.0%,4.744e-01±4.502e-02,4.6±8.8%,4.518e-01±6.148e-02,9.1±12.1%,4.969e-01±5.418e-02,0.0±10.7%,4.744e-01±4.502e-02,4.6±8.8%,1.015±0.011,0.957±0.034,0.988±0.003,-15.6±174.3%,0.994±0.015,-21.9±181.8%,1.001±0.020,-10.2±165.8%,0.984±0.019,-38.9±236.5%,1.028±0.029,-96.1±219.0%,0.000
2026-07-05T15:35:43+01:00,GPR_RBF+SMS-EMOA,dtlz2,2.781e-02±1.041e-17,6.094e-02±2.659e-02,6.061e-02±2.659e-02,0.7±0.3%,5.662e-02±2.663e-02,8.0±12.7%,4.435e-02±2.534e-02,28.1±21.3%,6.915e-02±3.093e-02,-13.8±25.1%,5.691e-02±2.665e-02,7.4±12.8%,5.611e-01±7.706e-02,4.917e-01±2.973e-04,4.917e-01±2.973e-04,0.0±0.0%,5.044e-01±2.126e-02,-2.6±4.3%,5.506e-01±3.022e-02,-12.0±6.1%,4.673e-01±3.929e-02,5.0±8.0%,5.044e-01±2.126e-02,-2.6±4.3%,1.036±0.000,0.953±0.027,0.993±0.000,54.5±14.5%,0.990±0.006,59.4±18.6%,0.975±0.009,72.1±16.8%,1.001±0.011,46.7±20.1%,1.029±0.012,9.6±16.5%,0.000
2026-07-05T15:36:03+01:00,GPR_RBF+NSGA-II,dtlz3,2.686e+04±0.000e+00,2.236e+04±9.089e+03,2.236e+04±9.089e+03,0.0±0.0%,2.973e+04±9.699e+03,-56.5±82.3%,2.987e+04±9.599e+03,-57.2±81.9%,2.973e+04±9.699e+03,-56.5±82.3%,3.179e+04±1.008e+04,-67.3±86.5%,4.520e+02±8.009e+01,8.912e+02±4.407e-02,8.912e+02±4.407e-02,0.0±0.0%,6.970e+02±1.598e+01,21.8±1.8%,6.936e+02±8.311e+00,22.2±0.9%,6.970e+02±1.598e+01,21.8±1.8%,6.970e+02±1.598e+01,21.8±1.8%,0.937±0.000,1.109±0.028,0.937±0.000,0.0±0.0%,1.054±0.015,68.3±14.0%,1.058±0.004,70.2±11.0%,1.054±0.015,68.3±14.0%,1.167±0.037,54.6±31.9%,0.000
2026-07-05T15:36:25+01:00,GPR_RBF+Dual-Ranking+NSGA-II,dtlz3,2.686e+04±0.000e+00,2.283e+04±8.378e+03,2.283e+04±8.378e+03,0.0±0.0%,2.759e+04±8.225e+03,-41.2±75.2%,2.846e+04±8.589e+03,-47.9±80.2%,3.085e+04±1.186e+04,-57.8±87.4%,2.923e+04±8.562e+03,-49.5±79.3%,4.243e+02±8.989e+01,8.912e+02±5.378e-02,8.912e+02±5.378e-02,0.0±0.0%,7.074e+02±2.580e+01,20.6±2.9%,6.975e+02±1.147e+01,21.7±1.3%,7.100e+02±3.313e+01,20.3±3.7%,7.074e+02±2.580e+01,20.6±2.9%,0.937±0.000,1.113±0.030,0.937±0.000,0.0±0.0%,1.045±0.024,63.3±18.8%,1.052±0.022,67.2±18.1%,1.032±0.061,55.2±39.3%,1.143±0.059,58.6±26.3%,0.000
