timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T17:51:53+01:00,Prob-MOEA/D,dtlz1,4.519e+04±1.455e-11,1.088e+05±2.629e+04,1.052e+05±2.638e+04,3.5±1.4%,1.052e+05±2.638e+04,3.5±1.4%,1.052e+05±2.638e+04,3.5±1.4%,1.052e+05±2.638e+04,3.5±1.4%,1.088e+05±2.629e+04,0.0±0.0%,3.074e+02±6.373e+01,1.735e-13±8.900e-13,1.735e-13±8.900e-13,0.0±0.0%,1.745e-13±8.900e-13,-14504723781445692.0±77791155041511984.0%,1.745e-13±8.900e-13,-14504723781445692.0±77791155041511984.0%,1.745e-13±8.900e-13,-14504723781445692.0±77791155041511984.0%,1.745e-13±8.900e-13,-14504723781445692.0±77791155041511984.0%,1.399±0.004,0.727±0.099,1.210±0.000,28.7±4.5%,1.210±0.000,28.7±4.5%,1.210±0.000,28.7±4.5%,1.210±0.000,28.7±4.5%,1.399±0.004,0.0±0.0%,0.000
2026-07-05T17:52:17+01:00,Prob-MOEA/D,dtlz2,2.217e-02±6.939e-18,1.778e-02±1.744e-03,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,1.778e-02±1.744e-03,-0.0±0.0%,1.187e-01±9.906e-03,2.131e-01±5.330e-03,2.131e-01±5.330e-03,0.0±0.0%,2.131e-01±5.330e-03,-0.0±0.0%,2.131e-01±5.330e-03,-0.0±0.0%,2.131e-01±5.330e-03,0.0±0.0%,2.131e-01±5.330e-03,-0.0±0.0%,1.209±0.008,1.084±0.002,1.064±0.001,84.3±1.1%,1.064±0.001,84.3±1.1%,1.064±0.001,84.3±1.1%,1.064±0.001,84.3±1.1%,1.209±0.008,0.0±0.0%,0.000
2026-07-05T17:53:24+01:00,Prob-MOEA/D,dtlz3,2.932e+05±1.164e-10,4.567e+05±1.209e+05,4.352e+05±1.241e+05,4.9±10.3%,4.352e+05±1.241e+05,4.9±10.3%,4.352e+05±1.241e+05,4.9±10.3%,4.352e+05±1.241e+05,4.9±10.3%,4.567e+05±1.209e+05,0.0±0.0%,5.891e+02±1.401e+02,1.767e-13±9.458e-13,1.767e-13±9.458e-13,0.0±0.0%,1.779e-13±9.460e-13,-14136164351519454.0±73959006933447344.0%,1.779e-13±9.460e-13,-14136164351519454.0±73959006933447344.0%,1.779e-13±9.460e-13,-14136164351519454.0±73959006933447344.0%,1.779e-13±9.460e-13,-14136164351519454.0±73959006933447344.0%,1.287±0.030,0.800±0.093,1.210±0.000,16.2±6.7%,1.210±0.000,16.2±6.7%,1.210±0.000,16.2±6.7%,1.210±0.000,16.2±6.7%,1.287±0.030,0.0±0.0%,0.000
2026-07-05T17:52:27+01:00,Prob-MOEA/D,dtlz4,2.954e-02±1.041e-17,2.412e-02±1.429e-02,2.409e-02±1.430e-02,0.6±2.2%,2.409e-02±1.430e-02,0.6±2.2%,2.409e-02±1.430e-02,0.6±2.2%,2.409e-02±1.430e-02,0.6±2.2%,2.412e-02±1.429e-02,0.0±0.0%,5.167e-01±6.397e-02,3.989e-01±2.037e-02,3.989e-01±2.037e-02,0.0±0.0%,3.989e-01±2.037e-02,-0.0±0.0%,3.989e-01±2.037e-02,-0.0±0.0%,3.989e-01±2.037e-02,-0.0±0.0%,3.989e-01±2.037e-02,-0.0±0.0%,0.824±0.010,0.775±0.054,0.818±0.010,9.6±6.4%,0.818±0.010,9.6±6.4%,0.818±0.010,9.6±6.4%,0.818±0.010,9.6±6.4%,0.824±0.010,0.0±0.0%,0.000
2026-07-05T17:52:36+01:00,Prob-MOEA/D,dtlz5,2.217e-02±6.939e-18,1.778e-02±1.744e-03,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,8.119e-03±9.435e-04,54.4±1.9%,1.778e-02±1.744e-03,-0.0±0.0%,1.270e-01±9.406e-03,2.119e-01±5.228e-03,2.119e-01±5.228e-03,0.0±0.0%,2.119e-01±5.228e-03,-0.0±0.0%,2.119e-01±5.228e-03,-0.0±0.0%,2.119e-01±5.228e-03,0.0±0.0%,2.119e-01±5.228e-03,-0.0±0.0%,1.189±0.008,1.064±0.003,1.042±0.002,81.7±1.3%,1.042±0.002,81.7±1.3%,1.042±0.002,81.7±1.3%,1.042±0.002,81.7±1.3%,1.189±0.008,0.0±0.0%,0.000
2026-07-05T17:52:19+01:00,Prob-MOEA/D,dtlz6,2.485e-02±3.469e-18,1.050e-02±3.098e-03,8.479e-03±2.556e-03,19.1±4.9%,8.479e-03±2.556e-03,19.1±4.9%,8.479e-03±2.556e-03,19.1±4.9%,8.479e-03±2.556e-03,19.1±4.9%,1.050e-02±3.098e-03,0.0±0.0%,8.052e+00±2.490e-01,8.033e+00±1.993e-01,8.033e+00±1.993e-01,0.0±0.0%,8.033e+00±1.993e-01,0.0±0.0%,8.033e+00±1.993e-01,0.0±0.0%,8.033e+00±1.993e-01,0.0±0.0%,8.033e+00±1.993e-01,0.0±0.0%,0.518±0.024,0.506±0.022,0.509±0.023,15.8±238.0%,0.509±0.023,15.8±238.0%,0.509±0.023,15.8±238.0%,0.509±0.023,15.8±238.0%,0.518±0.024,-0.0±0.0%,0.000
2026-07-05T17:52:54+01:00,Prob-MOEA/D,dtlz7,1.359e-01±2.776e-17,8.037e-01±7.013e-02,8.037e-01±7.013e-02,0.0±0.0%,8.037e-01±7.013e-02,-0.0±0.0%,8.037e-01±7.013e-02,-0.0±0.0%,8.037e-01±7.013e-02,-0.0±0.0%,8.037e-01±7.013e-02,-0.0±0.0%,9.326e-01±1.298e-01,6.388e-02±2.077e-02,6.388e-02±2.077e-02,0.0±0.0%,6.388e-02±2.077e-02,0.0±0.0%,6.388e-02±2.077e-02,0.0±0.0%,6.388e-02±2.077e-02,0.0±0.0%,6.388e-02±2.077e-02,0.0±0.0%,1.117±0.002,1.068±0.004,1.117±0.002,0.0±0.0%,1.117±0.002,-0.0±0.0%,1.117±0.002,-0.0±0.0%,1.117±0.002,-0.0±0.0%,1.117±0.002,-0.0±0.0%,0.000
2026-07-05T17:52:13+01:00,Prob-MOEA/D,omnitest,7.791e-02±0.000e+00,5.018e-04±3.537e-04,5.014e-04±3.541e-04,0.2±1.3%,5.014e-04±3.541e-04,0.2±1.3%,5.014e-04±3.541e-04,0.2±1.3%,5.014e-04±3.541e-04,0.2±1.3%,5.018e-04±3.537e-04,-0.0±0.0%,2.168e-01±7.518e-02,2.277e-01±7.574e-02,2.277e-01±7.574e-02,0.0±0.0%,2.277e-01±7.574e-02,0.0±0.0%,2.277e-01±7.574e-02,-0.0±0.0%,2.277e-01±7.574e-02,0.0±0.0%,2.277e-01±7.574e-02,0.0±0.0%,1.100±0.024,1.105±0.020,1.100±0.024,1.2±6.3%,1.100±0.024,1.2±6.3%,1.100±0.024,1.2±6.3%,1.100±0.024,1.2±6.3%,1.100±0.024,-0.0±0.0%,1.000
2026-07-05T17:53:11+01:00,Prob-MOEA/D,truss2d,2.757e+12±4.883e-04,5.866e+46±3.158e+47,5.866e+46±3.158e+47,59.3±48.4%,5.866e+46±3.158e+47,59.3±48.4%,5.866e+46±3.158e+47,59.3±48.4%,5.866e+46±3.158e+47,59.3±48.4%,5.866e+46±3.158e+47,-0.0±0.0%,6.408e+22±3.365e+23,1.278e-02±1.020e-02,1.278e-02±1.020e-02,0.0±0.0%,1.278e-02±1.020e-02,0.0±0.0%,1.278e-02±1.020e-02,0.0±0.0%,1.278e-02±1.020e-02,0.0±0.0%,1.278e-02±1.020e-02,0.0±0.0%,0.613±0.334,0.206±0.171,0.613±0.334,-0.1±0.1%,0.613±0.334,-0.1±0.1%,0.613±0.334,-0.1±0.1%,0.613±0.334,-0.1±0.1%,0.613±0.334,-0.0±0.0%,0.000
2026-07-05T17:52:36+01:00,Prob-MOEA/D,welded_beam,3.253e+03±9.095e-13,9.151e+01±4.461e+02,8.918e+01±4.336e+02,0.1±0.5%,8.918e+01±4.336e+02,0.1±0.5%,8.918e+01±4.336e+02,0.1±0.5%,8.918e+01±4.336e+02,0.1±0.5%,9.151e+01±4.461e+02,0.0±0.0%,3.746e+00±2.151e+00,1.266e+00±2.285e+00,1.266e+00±2.285e+00,0.0±0.0%*,1.266e+00±2.285e+00,-0.0±0.0%*,1.266e+00±2.285e+00,-0.0±0.0%*,1.266e+00±2.285e+00,-0.0±0.0%*,1.266e+00±2.285e+00,-0.0±0.0%*,0.593±0.013,0.578±0.008,0.592±0.011,2.7±13.7%,0.592±0.011,2.7±13.7%,0.592±0.011,2.7±13.7%,0.592±0.011,2.7±13.7%,0.593±0.013,0.0±0.0%,0.028
