timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:51:09+01:00,Prob-RVEA,dtlz1,4.519e+04±1.455e-11,9.736e+04±1.646e+04,9.132e+04±1.568e+04,6.2±2.2%,9.132e+04±1.568e+04,6.2±2.2%,9.132e+04±1.568e+04,6.2±2.2%,9.132e+04±1.568e+04,6.2±2.2%,9.736e+04±1.646e+04,0.0±0.0%,2.306e+02±5.747e+01,3.546e-12±1.217e-11,3.546e-12±1.217e-11,0.0±0.0%,3.547e-12±1.217e-11,-740582.4±3472884.4%,3.547e-12±1.217e-11,-740582.4±3472884.4%,3.547e-12±1.217e-11,-740582.4±3472884.4%,3.547e-12±1.217e-11,-740582.4±3472884.4%,1.404±0.003,0.847±0.090,1.210±0.000,35.9±6.9%,1.210±0.000,35.9±6.9%,1.210±0.000,35.9±6.9%,1.210±0.000,35.9±6.9%,1.404±0.003,0.0±0.0%,0.000
2026-07-05T15:42:29+01:00,Prob-RVEA,dtlz2,2.217e-02±6.939e-18,2.221e-02±1.119e-03,1.099e-02±6.802e-04,50.5±1.5%,1.099e-02±6.802e-04,50.5±1.5%,1.099e-02±6.802e-04,50.5±1.5%,1.099e-02±6.802e-04,50.5±1.5%,2.221e-02±1.119e-03,0.0±0.0%,7.885e-02±6.516e-03,1.714e-01±4.986e-03,1.714e-01±4.986e-03,0.0±0.0%,1.714e-01±4.986e-03,0.0±0.0%,1.714e-01±4.986e-03,-0.0±0.0%,1.714e-01±4.986e-03,0.0±0.0%,1.714e-01±4.986e-03,0.0±0.0%,1.230±0.005,1.094±0.002,1.075±0.001,86.0±0.9%,1.075±0.001,86.0±0.9%,1.075±0.001,86.0±0.9%,1.075±0.001,86.0±0.9%,1.230±0.005,0.0±0.0%,0.000
2026-07-05T15:49:06+01:00,Prob-RVEA,dtlz3,2.932e+05±1.164e-10,4.099e+05±1.155e+05,3.985e+05±1.260e+05,3.4±10.2%,3.985e+05±1.260e+05,3.4±10.2%,3.985e+05±1.260e+05,3.4±10.2%,3.985e+05±1.260e+05,3.4±10.2%,4.099e+05±1.155e+05,0.0±0.0%,5.756e+02±1.535e+02,8.560e-04±4.580e-03,8.560e-04±4.580e-03,0.0±0.0%,8.560e-04±4.580e-03,-1145553862785965.2±6168996346268617.0%,8.560e-04±4.580e-03,-1145553862785965.2±6168996346268617.0%,8.560e-04±4.580e-03,-1145553862785965.2±6168996346268617.0%,8.560e-04±4.580e-03,-1145553862785965.2±6168996346268617.0%,1.276±0.026,0.813±0.100,1.210±0.000,14.9±7.0%,1.210±0.000,14.9±7.0%,1.210±0.000,14.9±7.0%,1.210±0.000,14.9±7.0%,1.276±0.026,0.0±0.0%,0.000
2026-07-05T15:42:36+01:00,Prob-RVEA,dtlz4,2.954e-02±1.041e-17,2.036e-01±6.480e-02,2.024e-01±6.500e-02,0.7±0.5%,2.024e-01±6.500e-02,0.7±0.5%,2.024e-01±6.500e-02,0.7±0.5%,2.024e-01±6.500e-02,0.7±0.5%,2.036e-01±6.480e-02,0.0±0.0%,4.324e-01±6.192e-02,3.774e-01±1.972e-02,3.774e-01±1.972e-02,0.0±0.0%,3.774e-01±1.972e-02,-0.0±0.0%,3.774e-01±1.972e-02,-0.0±0.0%,3.774e-01±1.972e-02,-0.0±0.0%,3.774e-01±1.972e-02,-0.0±0.0%,0.929±0.014,0.939±0.070,0.894±0.009,-607.1±1906.6%,0.894±0.009,-607.1±1906.6%,0.894±0.009,-607.1±1906.6%,0.894±0.009,-607.1±1906.6%,0.929±0.014,-0.0±0.0%,0.000
2026-07-05T15:42:09+01:00,Prob-RVEA,dtlz5,2.217e-02±6.939e-18,2.247e-02±1.195e-03,1.106e-02±5.718e-04,50.7±1.2%,1.106e-02±5.718e-04,50.7±1.2%,1.106e-02±5.718e-04,50.7±1.2%,1.106e-02±5.718e-04,50.7±1.2%,2.247e-02±1.195e-03,0.0±0.0%,8.029e-02±5.498e-03,1.670e-01±3.970e-03,1.670e-01±3.970e-03,0.0±0.0%,1.670e-01±3.970e-03,0.0±0.0%,1.670e-01±3.970e-03,-0.0±0.0%,1.670e-01±3.970e-03,0.0±0.0%,1.670e-01±3.970e-03,0.0±0.0%,1.214±0.005,1.077±0.001,1.054±0.001,83.3±0.8%,1.054±0.001,83.3±0.8%,1.054±0.001,83.3±0.8%,1.054±0.001,83.3±0.8%,1.214±0.005,0.0±0.0%,0.000
2026-07-05T15:41:58+01:00,Prob-RVEA,dtlz6,2.485e-02±3.469e-18,1.431e-02±2.678e-03,1.230e-02±2.664e-03,14.4±3.4%,1.230e-02±2.664e-03,14.4±3.4%,1.230e-02±2.664e-03,14.4±3.4%,1.230e-02±2.664e-03,14.4±3.4%,1.431e-02±2.678e-03,-0.0±0.0%,7.807e+00±1.380e-01,7.721e+00±4.485e-02,7.721e+00±4.485e-02,0.0±0.0%,7.721e+00±4.485e-02,0.0±0.0%,7.721e+00±4.485e-02,0.0±0.0%,7.721e+00±4.485e-02,0.0±0.0%,7.721e+00±4.485e-02,0.0±0.0%,0.570±0.007,0.548±0.009,0.560±0.006,35.1±46.0%,0.560±0.006,35.1±46.0%,0.560±0.006,35.1±46.0%,0.560±0.006,35.1±46.0%,0.570±0.007,-0.0±0.0%,0.000
2026-07-05T15:44:01+01:00,Prob-RVEA,dtlz7,1.359e-01±2.776e-17,1.456e+00±5.926e-02,1.456e+00±5.926e-02,0.0±0.0%,1.456e+00±5.926e-02,-0.0±0.0%,1.456e+00±5.926e-02,-0.0±0.0%,1.456e+00±5.926e-02,-0.0±0.0%,1.456e+00±5.926e-02,-0.0±0.0%,9.179e-01±9.084e-02,2.768e-01±7.664e-02,2.768e-01±7.664e-02,0.0±0.0%,2.768e-01±7.664e-02,0.0±0.0%,2.768e-01±7.664e-02,0.0±0.0%,2.768e-01±7.664e-02,0.0±0.0%,2.768e-01±7.664e-02,0.0±0.0%,1.087±0.004,1.034±0.004,1.087±0.004,0.0±0.0%,1.087±0.004,-0.0±0.0%,1.087±0.004,-0.0±0.0%,1.087±0.004,-0.0±0.0%,1.087±0.004,-0.0±0.0%,0.000
2026-07-05T15:42:41+01:00,Prob-RVEA,omnitest,7.791e-02±0.000e+00,2.324e-03±3.014e-03,2.313e-03±3.015e-03,0.9±1.0%,2.313e-03±3.015e-03,0.9±1.0%,2.313e-03±3.015e-03,0.9±1.0%,2.313e-03±3.015e-03,0.9±1.0%,2.324e-03±3.014e-03,0.0±0.0%,3.220e-02±8.554e-03,4.656e-02±6.450e-03,4.656e-02±6.450e-03,0.0±0.0%,4.656e-02±6.450e-03,0.0±0.0%,4.656e-02±6.450e-03,-0.0±0.0%,4.656e-02±6.450e-03,0.0±0.0%,4.656e-02±6.450e-03,0.0±0.0%,1.158±0.003,1.155±0.002,1.154±0.002,-268.2±834.6%,1.154±0.002,-268.2±834.6%,1.154±0.002,-268.2±834.6%,1.154±0.002,-268.2±834.6%,1.158±0.003,0.0±0.0%,0.000
2026-07-05T15:43:33+01:00,Prob-RVEA,truss2d,2.757e+12±4.883e-04,2.511e+15±9.939e+15,2.499e+15±9.894e+15,46.5±33.2%,2.499e+15±9.894e+15,46.5±33.2%,2.499e+15±9.894e+15,46.5±33.2%,2.499e+15±9.894e+15,46.5±33.2%,2.511e+15±9.939e+15,0.0±0.0%,1.607e+07±5.918e+07,3.708e-03±7.880e-03,3.708e-03±7.880e-03,0.0±0.0%,3.708e-03±7.880e-03,0.0±0.0%,3.708e-03±7.880e-03,0.0±0.0%,3.708e-03±7.880e-03,0.0±0.0%,3.708e-03±7.880e-03,0.0±0.0%,0.913±0.249,0.921±0.253,0.913±0.249,-0.4±0.3%,0.913±0.249,-0.4±0.3%,0.913±0.249,-0.4±0.3%,0.913±0.249,-0.4±0.3%,0.913±0.249,0.0±0.0%,0.000
2026-07-05T15:51:57+01:00,Prob-RVEA,welded_beam,3.253e+03±9.095e-13,3.051e+05±1.152e+06,3.051e+05±1.152e+06,1.6±1.7%,3.051e+05±1.152e+06,1.6±1.7%,3.051e+05±1.152e+06,1.6±1.7%,3.051e+05±1.152e+06,1.6±1.7%,3.051e+05±1.152e+06,0.0±0.0%,6.356e-02±1.973e-02,2.906e-03±9.178e-03,2.906e-03±9.178e-03,0.0±0.0%*,2.906e-03±9.178e-03,-0.0±0.0%*,2.906e-03±9.178e-03,-0.0±0.0%*,2.906e-03±9.178e-03,-0.0±0.0%*,2.906e-03±9.178e-03,-0.0±0.0%*,0.624±0.024,0.595±0.002,0.599±0.000,52.9±43.4%,0.599±0.000,52.9±43.4%,0.599±0.000,52.9±43.4%,0.599±0.000,52.9±43.4%,0.624±0.024,0.0±0.0%,0.000
