timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T15:35:19+01:00,TGPR-MO,dtlz1,3.992e+03±4.547e-13,5.202e+03±1.334e+03,5.202e+03±1.334e+03,0.0±0.0%,4.039e+03±7.944e+02,18.0±23.8%,4.039e+03±7.944e+02,18.0±23.8%,4.039e+03±7.944e+02,18.0±23.8%,4.414e+03±8.087e+02,10.2±25.9%,1.625e+02±3.199e+01,3.288e+02±1.388e-01,3.288e+02±1.388e-01,0.0±0.0%,2.473e+02±3.611e+00,24.8±1.1%,2.473e+02±3.611e+00,24.8±1.1%,2.473e+02±3.611e+00,24.8±1.1%,2.473e+02±3.611e+00,24.8±1.1%,0.985±0.000,1.124±0.021,0.981±0.000,-2.8±0.5%,1.080±0.004,69.2±10.7%,1.080±0.004,69.2±10.7%,1.080±0.004,69.2±10.7%,1.176±0.010,58.9±27.0%,0.000
2026-07-05T15:37:17+01:00,TGPR-MO,dtlz2,1.442e-02±1.735e-18,3.318e-02±1.694e-03,3.094e-02±1.663e-03,6.8±0.3%,1.853e-02±1.187e-03,44.2±1.1%,1.853e-02±1.187e-03,44.2±1.1%,1.853e-02±1.187e-03,44.2±1.1%,2.208e-02±1.217e-03,33.5±0.8%,3.053e-02±3.952e-03,2.263e-01±1.797e-03,2.263e-01±1.797e-03,0.0±0.0%,1.792e-01±2.343e-03,20.8±0.6%,1.792e-01±2.343e-03,20.8±0.6%,1.792e-01±2.343e-03,20.8±0.6%,1.792e-01±2.343e-03,20.8±0.6%,1.138±0.001,1.106±0.001,1.061±0.001,-36.4±8.1%,1.073±0.001,-0.2±6.3%,1.073±0.001,-0.2±6.3%,1.073±0.001,-0.2±6.3%,1.172±0.001,-102.7±5.9%,0.000
2026-07-05T15:39:19+01:00,TGPR-MO,dtlz3,2.351e+04±7.276e-12,2.484e+04±7.189e+03,2.484e+04±7.189e+03,0.0±0.0%,3.358e+04±8.354e+03,-38.9±24.6%,3.459e+04±9.579e+03,-43.3±28.4%,3.831e+04±9.815e+03,-56.3±16.7%,3.368e+04±8.354e+03,-39.3±24.7%,4.832e+02±8.227e+01,9.313e+02±1.560e-04,9.313e+02±1.560e-04,0.0±0.0%,8.291e+02±3.619e+01,11.0±3.9%,8.213e+02±4.067e+01,11.8±4.4%,8.268e+02±1.885e+01,11.2±2.0%,8.291e+02±3.619e+01,11.0±3.9%,0.906±0.000,1.086±0.030,0.906±0.000,0.0±0.0%,0.929±0.046,12.6±25.0%,0.946±0.061,22.2±34.4%,0.895±0.012,-6.2±6.8%,0.941±0.050,19.5±27.3%,0.036
2026-07-05T15:41:15+01:00,TGPR-MO,dtlz4,3.587e-02±6.939e-18,4.015e-01±6.712e-01,3.930e-01±6.755e-01,68.2±41.1%,3.930e-01±6.755e-01,68.2±41.1%,3.930e-01±6.755e-01,68.2±41.1%,3.930e-01±6.755e-01,68.2±41.1%,4.015e-01±6.712e-01,0.0±0.0%,3.999e-01±1.323e-02,2.916e-01±1.118e-01,2.916e-01±1.118e-01,0.0±0.0%,2.916e-01±1.118e-01,-0.0±0.0%,2.916e-01±1.118e-01,-0.0±0.0%,2.916e-01±1.118e-01,-0.0±0.0%,2.916e-01±1.118e-01,-0.0±0.0%,0.933±0.078,0.814±0.005,0.877±0.079,64.0±25.5%,0.877±0.079,64.0±25.5%,0.877±0.079,64.0±25.5%,0.877±0.079,64.0±25.5%,0.933±0.078,0.0±0.0%,0.000
2026-07-05T15:43:07+01:00,TGPR-MO,dtlz5,1.442e-02±1.735e-18,3.343e-02±1.666e-03,3.117e-02±1.642e-03,6.8±0.3%,1.877e-02±1.168e-03,43.9±0.9%,1.877e-02±1.168e-03,43.9±0.9%,1.877e-02±1.168e-03,43.9±0.9%,2.233e-02±1.194e-03,33.2±0.6%,3.277e-02±4.765e-03,2.264e-01±2.309e-03,2.264e-01±2.309e-03,0.0±0.0%,1.791e-01±2.397e-03,20.9±0.5%,1.791e-01±2.397e-03,20.9±0.5%,1.791e-01±2.397e-03,20.9±0.5%,1.791e-01±2.397e-03,20.9±0.5%,1.116±0.001,1.089±0.001,1.038±0.001,-91.8±15.2%,1.051±0.001,-41.5±12.3%,1.051±0.001,-41.5±12.3%,1.051±0.001,-41.5±12.3%,1.153±0.001,-135.1±8.5%,0.000
2026-07-05T15:44:46+01:00,TGPR-MO,dtlz6,5.587e-03±0.000e+00,1.793e+00±3.146e-01,1.793e+00±3.146e-01,0.0±0.0%,1.787e+00±3.146e-01,0.3±0.5%,1.793e+00±3.163e-01,-0.0±0.9%,1.773e+00±3.129e-01,1.2±0.1%,1.787e+00±3.146e-01,0.3±0.5%,3.858e+00±3.348e-01,6.639e+00±1.988e-03,6.639e+00±1.988e-03,0.0±0.0%,6.636e+00±4.645e-03,0.0±0.1%,6.640e+00±7.584e-03,-0.0±0.1%,6.629e+00±2.257e-03,0.1±0.0%,6.636e+00±4.645e-03,0.0±0.1%,0.724±0.001,0.978±0.025,0.719±0.001,-2.3±0.2%,0.719±0.001,-2.1±0.3%,0.719±0.001,-2.3±0.5%,0.720±0.001,-1.7±0.2%,0.725±0.001,0.2±0.4%,0.000
2026-07-05T15:46:23+01:00,TGPR-MO,dtlz7,1.136e-06±4.235e-22,1.067e-03±2.533e-04,1.067e-03±2.533e-04,0.0±0.0%,1.067e-03±2.533e-04,-0.0±0.0%,1.067e-03±2.533e-04,0.0±0.0%,1.067e-03±2.533e-04,-0.0±0.0%,1.067e-03±2.533e-04,-0.0±0.0%,1.965e-02±5.691e-02,3.460e-02±6.005e-02,3.460e-02±6.005e-02,0.0±0.0%,3.460e-02±6.005e-02,0.0±0.0%,3.460e-02±6.005e-02,0.0±0.0%,3.460e-02±6.005e-02,-0.0±0.0%,3.460e-02±6.005e-02,0.0±0.0%,1.101±0.003,1.105±0.003,1.101±0.003,0.0±0.0%,1.101±0.003,0.0±0.0%,1.101±0.003,0.0±0.0%,1.101±0.003,0.0±0.0%,1.101±0.003,0.0±0.0%,0.000
2026-07-05T15:48:01+01:00,TGPR-MO,omnitest,5.547e-01±0.000e+00,1.057e-03±3.711e-04,1.051e-03±3.711e-04,0.6±0.2%,1.051e-03±3.711e-04,0.6±0.2%,1.051e-03±3.711e-04,0.6±0.2%,1.051e-03±3.711e-04,0.6±0.2%,1.057e-03±3.711e-04,-0.0±0.0%,1.507e-02±1.011e-03,8.495e-03±5.874e-03,8.495e-03±5.874e-03,0.0±0.0%,8.495e-03±5.874e-03,0.0±0.0%,8.495e-03±5.874e-03,0.0±0.0%,8.495e-03±5.874e-03,0.0±0.0%,8.495e-03±5.874e-03,0.0±0.0%,1.166±0.001,1.161±0.000,1.163±0.001,58.3±45.3%,1.163±0.001,58.3±45.3%,1.163±0.001,58.3±45.3%,1.163±0.001,58.3±45.3%,1.166±0.001,-0.0±0.0%,0.000
2026-07-05T15:49:43+01:00,TGPR-MO,truss2d,2.763e+12±4.883e-04,4.019e+24±2.164e+25,4.019e+24±2.164e+25,0.0±0.0%,4.019e+24±2.164e+25,0.5±0.6%,4.019e+24±2.164e+25,0.5±0.6%,4.019e+24±2.164e+25,0.5±0.6%,4.019e+24±2.164e+25,0.5±0.6%,1.224e+03±1.806e+02,2.576e-06±2.855e-06,2.576e-06±2.855e-06,0.0±0.0%*,5.414e+04±1.443e+04,-606564195025.1±635300807777.1%*,5.414e+04±1.443e+04,-606564195026.5±635300807778.0%*,5.414e+04±1.443e+04,-606564195024.2±635300807776.7%*,5.414e+04±1.443e+04,-606564195025.1±635300807777.1%*,1.162±0.039,1.163±0.038,1.162±0.039,0.0±0.0%,1.162±0.040,-1.7±3.2%,1.162±0.039,-4.5±4.0%,1.162±0.040,0.2±5.3%,1.162±0.040,-1.7±3.2%,0.000
2026-07-05T15:51:07+01:00,TGPR-MO,welded_beam,4.914e+02±1.137e-13,1.678e+07±2.624e+07,1.678e+07±2.624e+07,0.0±0.0%,1.658e+07±2.620e+07,9.2±13.6%,1.658e+07±2.620e+07,9.2±13.6%,1.658e+07±2.620e+07,9.2±13.6%,1.658e+07±2.620e+07,9.2±13.6%,5.836e+02±2.890e+03,0.000e+00±0.000e+00,0.000e+00±0.000e+00,0.0±0.0%*,7.944e+01±2.489e+01,0.0±0.0%*,7.944e+01±2.489e+01,0.0±0.0%*,7.944e+01±2.489e+01,0.0±0.0%*,7.944e+01±2.489e+01,0.0±0.0%*,0.603±0.001,0.470±0.134,0.599±0.000,8.5±12.1%,0.356±0.076,-324.2±792.9%,0.356±0.076,-324.2±792.9%,0.356±0.076,-324.3±793.0%,0.359±0.077,-320.6±790.9%,0.000
